1,,rat,not equal to,≠,atomic,1,,1 = atoms
2,,rbt,above,AB,"atomic, subject and object must be a point",1,,1.2 connectives
3,,rbt,after ,A,"atomic, subject and object must be a moment",1,,1.3 relational particles
4,,rbt,afterⁿ ,AF,"atomic, subject and object must be a number",1,,1.4 subordinators
5,,rbt,afterʷ ,AW,"atomic, subject and object must be a word",1,,1.5 redundancies
6,,ra,amᵉ,EX,,1,,2 determiners
7,,rbi,areᵃ,IA,"atomic, subject can be anything, object must be an adjective",1,,3 pronouns
8,,ra,areᵉ,EX,,1,,4 nouns etc
9,,rbi,areᵍ ,IG,"subject can be anything, object must be a noun",1,,4.1 plurals
10,,rbis,at,S,"subject must be a material particle, object must be a point",1,,4.2 people
11,,rbi,atⁱ ,AI,"subject must be a belief, object must be the imagination",1,,5 numbers
12,,rbi,atʲ ,IP,"subject must be a possible proposition, object must be a far away possible world",1,,"6 natural, artificial"
13,,rbi,atⁿ ,AN,"subject can be anything, object must be a number",1,,7 fallacies
14,,rbi,atᵖ ,P,"subject must be a possible proposition, object must be a possible world",1,,
15,,rbi,atˢ ,SS,"subject must be a sensation, object must be a sensational space",1,,
16,,rbit,atᵗ ,T,"subject can be a relationship, object must be a point",1,,below if there is a 1 then that means there is a definition which contain definienda which can be inferred from the axioms
17,,aa,consistent,,⊤=consistent,1,,
18,,na,current present,,current present,1,,
19,,rbi,desire,DS,"subject must be a mind, object must be a desire",1,,
20,,rbi,desires,DS,"subject must be a mind, object must be a desire",,,
21,,r,exist,EX,(exist=EX) & ((bEX) ≡ (bIAc)) & (c=extant),4,,
22,,r,exists,EX,(exists=EX) & ((bEX) ≡ (bIAc)) & (c=extant),4,,
23,,aa,extant,,atomic,1,,
24,,a,false,,(c=false) & (d=reality) & ((bIAc) ≡ (b~Id)),1,,
25,,rai,hasᵛ ,HV,"subject must be a sentence, object must be a word",1,,
26,,rbi,hasʷ ,HW,"subject must be a whole, object must be a part",1,,
27,,ra,has,H,atomic,,,
28,,ra,have,H,atomic,1,,
29,,ra,ofᵖ,OFP,"atomic, subject must be a plural, object must be a singular countepart",,,
30,,na,here,,here,1,,
31,,rbts,in front of,FR,subject and object must be a point,1,,
32,,rbi,inᵒ,I,subject must be a fact object must be reality,1,o = objective,
33,,rbt,is,=,atomic,1,,
34,,rbi,isᵃ ,IA,"subject can be anything, object must an adjective",1,,
35,,ra,isᵉ,EX,atomic,1,,
36,,rbi,isᵍ ,IG,IG=isᵍ (object is a noun which must have a ʸ)  transitive,1,,
37,,rbts,left of,LF,subject and object must be a point,1,,
38,,m,not,,~,1,,
39,,m,notⁱ,,¬,1,,
40,,na,plural form,,atomic,1,,
41,,na,relation,,atomic,1,,
42,,rai,relational variable,R,none,1,,
43,,na,thing,,atomic,1,,
44,,rai,think,TK,"subject must be a mind, object must be a thought",1,,
45,,rbi,think about,TK,"subject must be a mind, object must be a thought",1,,
46,,rai,thinks,TK,atomic,1,,
47,,ra,wasᵉ,EX,atomic,1,,
48,,ra,wasᵍ,IG,atomic,1,,
49,,na,thisⁿ,,atomic,1,,
50,,na,thisⁿ,,e.g. thisⁿ was what I saw. (here 'this' functions as a noun),,,
51,,na,thatⁿ,,atomic,,,
52,,na,thatⁿ,,e.g. thatⁿ was what I saw. (here 'that' functions as a noun),,,
53,,c,andᶜ,,hard coded,1.3,,
54,,l,and,,&,1.2,,
55,,lc,because,,"(because b, c) ≡ (c & (c ⊢ b))",1.2,,
56,,lb,hence,,⊢,1.2,,
57,,lb,follow,,⊬,1.2,,
58,,lc,since,,(since = because),1.2,,
59,,lb,so,,⊢,1.2,,
60,,lb,then,,⊢,1.2,,
61,,lb,thenᵃ,,→,1.2,,
62,,lb,therefore,,⊢,1.2,,
63,,lb,thus,,⊢,1.2,,
64,,ls,unless,,hard coded,1.2,,
65,,ra,of,OF,postponed,1.3,,
66,,ra,toᵐ,TM,postponed,1.3,,
67,,ra,toᵖ,TP,postponed,1.3,,
68,,u,that,,hard coded,1.4,,
69,,u,thatᵒ,,hard coded,1.4,,
70,,u,thatˢ,,hard coded,1.4,,
71,,u,whichᵒ,,hard coded,1.4,,
72,,u,which,,hard coded,1.4,,
73,,u,who,,hard coded,1.4,,
74,,u,whom,,hard coded,1.4,,
75,,u,whoᵒ,,hard coded,1.4,,
76,,b,aʳ,,redundant,1.5,,
77,,b,did,,redundant,1.5,,
78,,b,inʳ,,redundant,1.5,,
79,,b,do,,redundant,1.5,,
80,,b,does,,redundant,1.5,,
81,,c,if,,redundant,1.5,,
82,,b,if,,redundant,1.5,,
83,,b,isʳ,,redundant,1.5,,
84,,b,itʳ,,redundant,1.5,,
85,,b,ofʳ,,redundant,1.5,,
86,,b,thatʳ,,redundant,1.5,,
87,,b,thenʳ,,redundant,1.5,,
88,,b,toʳ,,redundant,1.5,,
89,,na,there,,hard coded,1.6,,
90,,ddi,aᵃ,,((aᵃ bRc) ≡ ((zRc) & (zIGb) & (zIAe))) & (e=general),2,,
91,,ds,anᵃ,,(anᵃ = aᵃ),,,
92,,ddi,a,x,((a bRc) ≡ ((zRc) & (zIGb) & (zIAe) & (zIAf))) & (e=indefinite) & (f=particular),2,,
93,,o,a,,"E.g. when definining determinatives the determinative must be before the subject and the new indefinite variables must be w,x,y,z",2,,
94,,o,a,,If the same sentence is both antecedent and conjunct then the conjunct must appear first in the definition,2,,
95,,di,all,y,(((all bRc) & (bIGy) & (bOFPd)) ≡ (any dRc)) & (y=plural form),2,,
96,,ds,all of the,,(all of the=all),2,,
97,,o,all of the,,E.g. All of the boys went home iff all boys went home.,2,,
98,,ds,all the,,(all the=all),2,,
99,,ds,another,,(another bRc) ≡ ((zRc) & (zIGb)),2,,
100,,ddi,any,x,((any bRc) ≡ (((zIGb) → (zRc)) & (yIGb) & (yIAd) & (zIAe))) & (d=particular) & (e=general),2,,
101,,dt,anyⁿ,,(b~R anyⁿ c) ≡ (bR no c),2,,
102,,o,anyⁿ,,E.g. I dont have anyⁿ cars iff I have no cars.,2,,
103,,ws,anyone,,(anyone = any person),2,,
104,,d,anyone except,,((anyone except bRc) ≡ ((anything except bRc) & (bIGd))) & (d=person),2,,
